新 383,主の麗しさを
新 384,主よ御手もて
新 385,主よ終わりまで
新 386,ナルドの香油　
新 387,一粒の麦
新 388,いとも良きものを
新 389,我が主は真の牧者　
新 390,真実全（まった）き心もて
新 391,皆献（ささ）げまつり
新 392,主の愛の汝内に
新 393,献（ささ）げまつりし
新 394,成し給え汝（な）が旨
新 395,主はガリラヤ湖の
新 396,慕い奉る主の
新 397,神の御子に在すイェス
新 398,新しき地に
新 399,この身の生くるは　
新 400,十字架の御許（みもと）に
新 401,悲しめる者に
新 402,暗き谷間をたどるときも　
新 403,何処（いずく）までも
新 404,弟子と成し給え
新 405,心の底より君に捧ぐ
新 406,主にありて生くるとき　
新 407,イエスよ我が身と
新 408(136),主よ汝が誓いの
新 409,燃ゆる御霊（みたま）よ
新 410,御神（みかみ）に仕（つこ）うる
新 411,御恵みの高嶺（たかね）に　
新 412,友よ　主の約し給（たま）える
新 413,御神（みかみ）の炎（ほのお）よ
新 414,主は力を我に注ぎ
新 415,恵み深き御神よ
新 416,聖霊来たり
新 417,主の約束
新 418,天地（あめつち）こぞりて
新 419,起こし給え
新 420,雨を降り注ぎ
新 421,ここに主は在（ま）して
新 422,御恵みは天地に
新 423,村の小さな教会
新 424,この身を虜にせし
新 425,灯台は遙（はる）か
新 426,世には良き友も
新 427,唯主を
新 428,キリストには代えられません
新 429,地の塵に等しかり
新 430,我主に従い奉らん
新 431,主と
新 432,北の果（は）てなる
新 433,天津真清水（あまつましみず）
新 434,語り告げばや
新 435,罪に沈む汝（な）が友に
新 436,未だ見ぬ地
新 437,行きて告げよ遍（あまね）く
新 438,悩む世人の為に
新 439,険しき山道か
新 440,エジプトに住める
新 441,望みは失せ
新 442,病（やまい）の床にも
新 443,悩む者よ疾く立ちて
新 444,屈するなかれ　
新 445,重くとも汝（なれ）が十字架
新 446,貴方の罪過ちは
新 447,貴方の持てる悩みは　
新 448,神より生まれし者よ
新 449,父なる御神に
新 450,罪思い出さする
新 451,カルバリ山より
新 452,イエスは通り給（たも）う
新 453,ガリラヤこの岸にて
新 454,立ち上がれいざ
新 455,御民（みたみ）よ戦え
新 456,真理（まこと）のため十字架の
新 457,憂いと罪より
新 458,光の高地に
新 459,世人は敵に
新 460,この世の末の
新 461,苦きを忍びて
新 462,聖書（みふみ）も時の徴（しるし）も
新 463,喜びもて
新 464,汚れと争いは
新 465,いつかは知らねど（真白き富士の嶺）
新 466,来たり給う主を
新 467,世の終わりのラッパ
新 468,御国に住まいを
新 469,馬車よ下りてこい
新 470,懐かしき住まい
新 471,我聞けり　彼方には
新 472,世の旅路は辛くあれど
新 473,ややに移りきし
新 474,主が私の手を
新 475,間もなく彼方の
新 476,素晴らしいものは
新 477,原に若草が
新 478,山は緑谷も緑　
新 479,山や原や海は
新 480,大人も子供らも
新 481,君は神様にね話した
新 482,世界の友と手を繋ぎ　
新 483,ある日イエス様に
新 484,神様有り難う
新 485,小さい羊が家を離れ　
新 486,雄々（おお）しくあれ
新 487,ダビデは野原で
新 488,ヨナは預言者
新 489,おめでとう　みんな
新 490,馬小屋の中で
新 491,ハレルヤいざ
新 492,今日は誕生日だね　
新 493,諸天（しょてん）は神の
新 494,見よや十字架
新 495,世を治め給（たも）うイエスは
新 496,岩なる主イエスを
新 497,礎揺（ゆ）るがぬ
新 498,清きところを
新 499,祈りに祈りて
新 500,緑の牧場に
新 501,羊飼いの羊飼いよ
新 502,全き愛与える主よ　
新 503(143),愛の御神よ
新 504,妹背（いもせ）を契（ちぎ）る
新 505,主我を愛す
新 506,遠い昔のエルサレム
新 507(49),山路越えて
新 508,神共に在して
新 509,去り行く友の
新 510,主よ身許に
新 511,主にありてぞ
新 512,湧く涙の意味　
新 513,悩み多き浮世（うきよ）を
新 514,いつかは「さらば」と
新 515,我が罪の為に　
新 516,ヨルダンの彼方（かなた）に
新 517,遙かに仰ぎ見る
新 518,聖（きよ）き岸辺に
新 519,鳴れかし鐘の音
新 520(304),父の御神よ
新 521,統治（すべしらす）す神よ
